 ,Label,Mean,Min,Max,Slice
1,,28,0,113,1
2,,36,0,126,1
3,,32,0,94,1
4,,27,0,123,1
5,,41,0,120,1
6,,30,0,108,1
7,,24,0,90,1
8,,30,0,94,1
9,,32,0,112,1
10,,24,0,90,1
11,,36,0,124,1
12,,28,0,136,1
13,,30,0,114,1
14,,23,0,108,1
15,,30,0,105,1
16,,37,0,129,1
17,,29,0,101,1
18,,30,0,88,1
19,,41,0,115,1
20,,40,0,129,1
21,,37,0,124,1
22,Mean,32,0,112,1
23,SD,5,0,15,0
24,Min,23,0,88,1
25,Max,41,0,136,1
