 ,Label,Mean,Min,Max,Slice
1,,4,0,55,1
2,,4,0,45,1
3,,4,0,52,1
4,,2,0,44,1
5,,4,0,43,1
6,,3,0,28,1
7,,5,0,48,1
8,,3,0,45,1
9,,4,0,52,1
10,,4,0,35,1
11,,4,0,36,1
12,,3,0,44,1
13,,3,0,53,1
14,Mean,4,0,45,1
15,SD,5.823E-1,0,8,0
16,Min,2,0,28,1
17,Max,5,0,55,1
