 ,Label,Mean,Min,Max,Slice
1,,9,0,60,1
2,,11,0,47,1
3,,11,0,61,1
4,,15,0,60,1
5,,12,0,76,1
6,,11,0,71,1
7,,18,0,101,1
8,,11,0,81,1
9,,13,0,58,1
10,,14,0,73,1
11,,10,0,53,1
12,Mean,12,0,67,1
13,SD,3,0,15,0
14,Min,9,0,47,1
15,Max,18,0,101,1
