 ,Label,Mean,Min,Max,Slice
1,,3,0,34,1
2,,4,0,53,1
3,,4,0,41,1
4,,4,0,38,1
5,,3,0,52,1
6,,4,0,54,1
7,,3,0,46,1
8,,3,0,39,1
9,,3,0,32,1
10,,4,0,39,1
11,,3,0,44,1
12,,4,0,41,1
13,,4,0,53,1
14,Mean,3,0,44,1
15,SD,4.344E-1,0,8,0
16,Min,3,0,32,1
17,Max,4,0,54,1
