 ,Label,Mean,Min,Max,Slice
1,,2,0,37,1
2,,2,0,31,1
3,,2,0,37,1
4,,3,0,38,1
5,,2,0,41,1
6,,4,0,42,1
7,,2,0,35,1
8,,2,0,40,1
9,,3,0,46,1
10,,2,0,33,1
11,,3,0,40,1
12,,3,0,51,1
13,,3,0,34,1
14,,3,0,38,1
15,,3,0,48,1
16,,5,0,48,1
17,,2,0,28,1
18,,2,0,47,1
19,,8.776E-2,0,32,1
