 ,Label,Mean,Min,Max,Slice
1,,4,0,35,1
2,,4,0,37,1
3,,4,0,45,1
4,,5,0,45,1
5,,4,0,35,1
6,,3,0,38,1
7,,7,0,70,1
8,,4,0,40,1
9,,4,0,34,1
10,,5,0,46,1
11,,4,0,50,1
12,,6,0,39,1
13,,5,0,45,1
14,,6,0,38,1
15,,6,0,40,1
16,,7,0,46,1
17,Mean,5,0,43,1
18,SD,1,0,9,0
19,Min,3,0,34,1
20,Max,7,0,70,1
